Molecule,Canonical SMILES,Formula,MW,#H-bond acceptors,#H-bond donors,iLOGP,MLOGP,Lipinski #violations
Molecule 1,C[C@@H](C(=O)O)N,C3H7NO2,89.09,3,2,0.34,-3.06,0
Molecule 2,OCc1cc(O)c2c(c1)C(=O)c1c(C2=O)c(O)ccc1,C15H10O5,270.24,5,3,1.96,0.1,0
Molecule 3,OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)c1c(O)cc(c2c1oc(CC(=O)C)cc2=O)C,C19H22O9,394.37,9,5,0.92,-2.08,0
Molecule 4,OCc1cc(O)c2c(c1)C([C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)c1c(C2=O)c(O)ccc1,C21H22O9,418.39,9,7,2.2,-1.59,1
Molecule 5,[Al],Al,26.98,9,7,2.2,-1.59,1
Molecule 6,C=C=CCNC(=O)c1ccc(cc1)F,C11H10FNO,191.2,2,1,2.29,2.68,0
Molecule 7,OC(=O)[C@H](CCCN=C(N)N)N,C6H14N4O2,174.2,4,4,0.27,-3.21,0
Molecule 8,OC[C@@H]([C@H]1OC(=O)C(=O)C1O)O,C6H8O6,176.12,6,3,0.31,-2.6,0
Molecule 9,NC(=O)C[C@@H](C(=O)O)N,C4H8N2O3,132.12,4,3,-0.26,-3.99,0
Molecule 10,OC(=O)C[C@@H](C(=O)O)N,C4H7NO4,133.1,5,3,-0.09,-3.59,0
Molecule 11,OCc1cc(O)c2c(c1)[C@@H]([C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)c1c(C2=O)c(O)ccc1,C21H22O9,418.39,9,7,1.4,-1.59,1
Molecule 12,C/C(=C\C=C\C=C(\C=C\C=C(\C=C\C1=C(C)CCCC1(C)C)/C)/C)/C=C/C=C(/C=C/C1=C(C)CCCC1(C)C)\C,C40H56,536.87,0,0,1.4,-1.59,1
Molecule 13,CC[C@@H](C(C)C)CC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C,C29H50O,414.71,1,1,5.05,6.73,1
Molecule 14,[Ca],Ca,40.08,1,1,5.05,6.73,1
Molecule 15,[O-]C(=O)C(=O)[O-].[Ca+2],C2CaO4,128.1,4,0,-23.79,-1.51,0
Molecule 16,O[C@H]1CC[C@]2(C(=CC[C@@H]3[C@@H]2CC[C@]2([C@H]3CC[C@@H]2[C@@H](CC[C@H](C(C)C)C)C)C)C1)C,C28H48O,400.68,1,1,4.97,6.54,1
Molecule 17,CC(CCC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C)C,C27H46O,386.65,1,1,4.89,6.34,1
Molecule 18,[Cr],Cr,52,1,1,4.89,6.34,1
Molecule 19,Oc1cccc2c1C(=O)c1c(C2=O)cccc1O,C14H8O4,240.21,4,2,1.96,0.67,0
Molecule 20,Cc1cc(O)c2c(c1)C(=O)c1c(C2=O)c(O)ccc1,C15H10O4,254.24,4,2,2.22,0.92,0
Molecule 21,[Co],Co,58.93,4,2,2.22,0.92,0
Molecule 22,N[C@H](C(=O)O)CS,C3H7NO2S,121.16,3,2,0.37,-3.06,0
Molecule 23,OC[C@H]1OC(O)[C@@H]([C@H]([C@@H]1O)O)O,C6H12O6,180.16,6,5,0.35,-2.75,0
Molecule 24,Cc1cc(O)c2c(c1)C(=O)c1c(C2=O)c(O)cc(c1)O,C15H10O5,270.24,5,3,1.8,0.36,0
